
Plant,Row,Bay,Level,Side,Location_Code
ANV2,A,09,6,L,ANV2_A_09_6_L
ANV2,A,09,6,R,ANV2_A_09_6_R
ANV2,A,10,1,L,ANV2_A_10_1_L
ANV2,A,10,1,R,ANV2_A_10_1_R
ANV2,A,10,2,L,ANV2_A_10_2_L
ANV2,A,10,2,R,ANV2_A_10_2_R
ANV2,A,10,3,L,ANV2_A_10_3_L
ANV2,A,10,3,R,ANV2_A_10_3_R
ANV2,A,10,4,L,ANV2_A_10_4_L
ANV2,A,10,4,R,ANV2_A_10_4_R
ANV2,A,10,5,L,ANV2_A_10_5_L
ANV2,A,10,5,R,ANV2_A_10_5_R
ANV2,A,10,6,L,ANV2_A_10_6_L
ANV2,A,10,6,R,ANV2_A_10_6_R
ANV2,A,11,1,L,ANV2_A_11_1_L
ANV2,A,11,1,R,ANV2_A_11_1_R
ANV2,A,11,2,L,ANV2_A_11_2_L
ANV2,A,11,2,R,ANV2_A_11_2_R
ANV2,A,11,3,L,ANV2_A_11_3_L
ANV2,A,11,3,R,ANV2_A_11_3_R
ANV2,A,11,4,L,ANV2_A_11_4_L
ANV2,A,11,4,R,ANV2_A_11_4_R
ANV2,A,11,5,L,ANV2_A_11_5_L
ANV2,A,11,5,R,ANV2_A_11_5_R
ANV2,A,11,6,L,ANV2_A_11_6_L
ANV2,A,11,6,R,ANV2_A_11_6_R
ANV2,A,12,1,L,ANV2_A_12_1_L
ANV2,A,12,1,R,ANV2_A_12_1_R
ANV2,A,12,2,L,ANV2_A_12_2_L
ANV2,A,12,2,R,ANV2_A_12_2_R
ANV2,A,12,3,L,ANV2_A_12_3_L
ANV2,A,12,3,R,ANV2_A_12_3_R
ANV2,A,12,4,L,ANV2_A_12_4_L
ANV2,A,12,4,R,ANV2_A_12_4_R
ANV2,A,12,5,L,ANV2_A_12_5_L
ANV2,A,12,5,R,ANV2_A_12_5_R
ANV2,A,12,6,L,ANV2_A_12_6_L
ANV2,A,12,6,R,ANV2_A_12_6_R
ANV2,A,13,1,L,ANV2_A_13_1_L
ANV2,A,13,1,R,ANV2_A_13_1_R
ANV2,A,13,2,L,ANV2_A_13_2_L
ANV2,A,13,2,R,ANV2_A_13_2_R
ANV2,A,13,3,L,ANV2_A_13_3_L
ANV2,A,13,3,R,ANV2_A_13_3_R
ANV2,A,13,4,L,ANV2_A_13_4_L
ANV2,A,13,4,R,ANV2_A_13_4_R
ANV2,A,13,5,L,ANV2_A_13_5_L
ANV2,A,13,5,R,ANV2_A_13_5_R
ANV2,A,13,6,L,ANV2_A_13_6_L
ANV2,A,13,6,R,ANV2_A_13_6_R
ANV2,B,01,1,L,ANV2_B_01_1_L
ANV2,B,01,1,R,ANV2_B_01_1_R
ANV2,B,01,2,L,ANV2_B_01_2_L
ANV2,B,01,2,R,ANV2_B_01_2_R
ANV2,B,01,3,L,ANV2_B_01_3_L
ANV2,B,01,3,R,ANV2_B_01_3_R
ANV2,B,01,4,L,ANV2_B_01_4_L
ANV2,B,01,4,R,ANV2_B_01_4_R
ANV2,B,01,5,L,ANV2_B_01_5_L
ANV2,B,01,5,R,ANV2_B_01_5_R
ANV2,B,01,6,L,ANV2_B_01_6_L
ANV2,B,01,6,R,ANV2_B_01_6_R
ANV2,B,02,1,L,ANV2_B_02_1_L
ANV2,B,02,1,R,ANV2_B_02_1_R
ANV2,B,02,2,L,ANV2_B_02_2_L
ANV2,B,02,2,R,ANV2_B_02_2_R
ANV2,B,02,3,L,ANV2_B_02_3_L
ANV2,B,02,3,R,ANV2_B_02_3_R
ANV2,B,02,4,L,ANV2_B_02_4_L
ANV2,B,02,4,R,ANV2_B_02_4_R
ANV2,B,02,5,L,ANV2_B_02_5_L
ANV2,B,02,5,R,ANV2_B_02_5_R
ANV2,B,02,6,L,ANV2_B_02_6_L
ANV2,B,02,6,R,ANV2_B_02_6_R
ANV2,B,03,1,L,ANV2_B_03_1_L
ANV2,B,03,1,R,ANV2_B_03_1_R
ANV2,B,03,2,L,ANV2_B_03_2_L
ANV2,B,03,2,R,ANV2_B_03_2_R
ANV2,B,03,3,L,ANV2_B_03_3_L
ANV2,B,03,3,R,ANV2_B_03_3_R
ANV2,B,03,4,L,ANV2_B_03_4_L
ANV2,B,03,4,R,ANV2_B_03_4_R
ANV2,B,03,5,L,ANV2_B_03_5_L
ANV2,B,03,5,R,ANV2_B_03_5_R
ANV2,B,03,6,L,ANV2_B_03_6_L
ANV2,B,03,6,R,ANV2_B_03_6_R
ANV2,B,04,1,L,ANV2_B_04_1_L
ANV2,B,04,1,R,ANV2_B_04_1_R
ANV2,B,04,2,L,ANV2_B_04_2_L
ANV2,B,04,2,R,ANV2_B_04_2_R
ANV2,B,04,3,L,ANV2_B_04_3_L
ANV2,B,04,3,R,ANV2_B_04_3_R
ANV2,B,04,4,L,ANV2_B_04_4_L
ANV2,B,04,4,R,ANV2_B_04_4_R
ANV2,B,04,5,L,ANV2_B_04_5_L
ANV2,B,04,5,R,ANV2_B_04_5_R
ANV2,B,04,6,L,ANV2_B_04_6_L
ANV2,B,04,6,R,ANV2_B_04_6_R
ANV2,B,05,1,L,ANV2_B_05_1_L
ANV2,B,05,1,R,ANV2_B_05_1_R
ANV2,B,05,2,L,ANV2_B_05_2_L
ANV2,B,05,2,R,ANV2_B_05_2_R
ANV2,B,05,3,L,ANV2_B_05_3_L
ANV2,B,05,3,R,ANV2_B_05_3_R
ANV2,B,05,4,L,ANV2_B_05_4_L
ANV2,B,05,4,R,ANV2_B_05_4_R
ANV2,B,05,5,L,ANV2_B_05_5_L
ANV2,B,05,5,R,ANV2_B_05_5_R
ANV2,B,05,6,L,ANV2_B_05_6_L
ANV2,B,05,6,R,ANV2_B_05_6_R
ANV2,B,06,1,L,ANV2_B_06_1_L
ANV2,B,06,1,R,ANV2_B_06_1_R
ANV2,B,06,2,L,ANV2_B_06_2_L
ANV2,B,06,2,R,ANV2_B_06_2_R
ANV2,B,06,3,L,ANV2_B_06_3_L
ANV2,B,06,3,R,ANV2_B_06_3_R
ANV2,B,06,4,L,ANV2_B_06_4_L
ANV2,B,06,4,R,ANV2_B_06_4_R
ANV2,B,06,5,L,ANV2_B_06_5_L
ANV2,B,06,5,R,ANV2_B_06_5_R
ANV2,B,06,6,L,ANV2_B_06_6_L
ANV2,B,06,6,R,ANV2_B_06_6_R
ANV2,B,07,1,L,ANV2_B_07_1_L
ANV2,B,07,1,R,ANV2_B_07_1_R
ANV2,B,07,2,L,ANV2_B_07_2_L
ANV2,B,07,2,R,ANV2_B_07_2_R
ANV2,B,07,3,L,ANV2_B_07_3_L
ANV2,B,07,3,R,ANV2_B_07_3_R
ANV2,B,07,4,L,ANV2_B_07_4_L
ANV2,B,07,4,R,ANV2_B_07_4_R
ANV2,B,07,5,L,ANV2_B_07_5_L
ANV2,B,07,5,R,ANV2_B_07_5_R
ANV2,B,07,6,L,ANV2_B_07_6_L
ANV2,B,07,6,R,ANV2_B_07_6_R
ANV2,B,08,1,L,ANV2_B_08_1_L
ANV2,B,08,1,R,ANV2_B_08_1_R
ANV2,B,08,2,L,ANV2_B_08_2_L
ANV2,B,08,2,R,ANV2_B_08_2_R
ANV2,B,08,3,L,ANV2_B_08_3_L
ANV2,B,08,3,R,ANV2_B_08_3_R
ANV2,B,08,4,L,ANV2_B_08_4_L
ANV2,B,08,4,R,ANV2_B_08_4_R
ANV2,B,08,5,L,ANV2_B_08_5_L
ANV2,B,08,5,R,ANV2_B_08_5_R
ANV2,B,08,6,L,ANV2_B_08_6_L
ANV2,B,08,6,R,ANV2_B_08_6_R
ANV2,B,09,1,L,ANV2_B_09_1_L
ANV2,B,09,1,R,ANV2_B_09_1_R
ANV2,B,09,2,L,ANV2_B_09_2_L
ANV2,B,09,2,R,ANV2_B_09_2_R
ANV2,B,09,3,L,ANV2_B_09_3_L
ANV2,B,09,3,R,ANV2_B_09_3_R
ANV2,B,09,4,L,ANV2_B_09_4_L
ANV2,B,09,4,R,ANV2_B_09_4_R
ANV2,B,09,5,L,ANV2_B_09_5_L
ANV2,B,09,5,R,ANV2_B_09_5_R
ANV2,B,09,6,L,ANV2_B_09_6_L
ANV2,B,09,6,R,ANV2_B_09_6_R
ANV2,B,10,1,L,ANV2_B_10_1_L
ANV2,B,10,1,R,ANV2_B_10_1_R
ANV2,B,10,2,L,ANV2_B_10_2_L
ANV2,B,10,2,R,ANV2_B_10_2_R
ANV2,B,10,3,L,ANV2_B_10_3_L
ANV2,B,10,3,R,ANV2_B_10_3_R
ANV2,B,10,4,L,ANV2_B_10_4_L
ANV2,B,10,4,R,ANV2_B_10_4_R
ANV2,B,10,5,L,ANV2_B_10_5_L
ANV2,B,10,5,R,ANV2_B_10_5_R
ANV2,B,10,6,L,ANV2_B_10_6_L
ANV2,B,10,6,R,ANV2_B_10_6_R
ANV2,B,11,1,L,ANV2_B_11_1_L
ANV2,B,11,1,R,ANV2_B_11_1_R
ANV2,B,11,2,L,ANV2_B_11_2_L
ANV2,B,11,2,R,ANV2_B_11_2_R
ANV2,B,11,3,L,ANV2_B_11_3_L
ANV2,B,11,3,R,ANV2_B_11_3_R
ANV2,B,11,4,L,ANV2_B_11_4_L
ANV2,B,11,4,R,ANV2_B_11_4_R
ANV2,B,11,5,L,ANV2_B_11_5_L
ANV2,B,11,5,R,ANV2_B_11_5_R
ANV2,B,11,6,L,ANV2_B_11_6_L
ANV2,B,11,6,R,ANV2_B_11_6_R
ANV2,B,12,1,L,ANV2_B_12_1_L
ANV2,B,12,1,R,ANV2_B_12_1_R
ANV2,B,12,2,L,ANV2_B_12_2_L
ANV2,B,12,2,R,ANV2_B_12_2_R
ANV2,B,12,3,L,ANV2_B_12_3_L
ANV2,B,12,3,R,ANV2_B_12_3_R
ANV2,B,12,4,L,ANV2_B_12_4_L
ANV2,B,12,4,R,ANV2_B_12_4_R
ANV2,B,12,5,L,ANV2_B_12_5_L
ANV2,B,12,5,R,ANV2_B_12_5_R
ANV2,B,12,6,L,ANV2_B_12_6_L
ANV2,B,12,6,R,ANV2_B_12_6_R
ANV2,C,01,1,L,ANV2_C_01_1_L
ANV2,C,01,1,R,ANV2_C_01_1_R
ANV2,C,01,2,L,ANV2_C_01_2_L
ANV2,C,01,2,R,ANV2_C_01_2_R
ANV2,C,01,3,L,ANV2_C_01_3_L
ANV2,C,01,3,R,ANV2_C_01_3_R
ANV2,C,01,4,L,ANV2_C_01_4_L
ANV2,C,01,4,R,ANV2_C_01_4_R
ANV2,C,01,5,L,ANV2_C_01_5_L
ANV2,C,01,5,R,ANV2_C_01_5_R
ANV2,C,01,6,L,ANV2_C_01_6_L
ANV2,C,01,6,R,ANV2_C_01_6_R
ANV2,C,02,1,L,ANV2_C_02_1_L
ANV2,C,02,1,R,ANV2_C_02_1_R
ANV2,C,02,2,L,ANV2_C_02_2_L
ANV2,C,02,2,R,ANV2_C_02_2_R
ANV2,C,02,3,L,ANV2_C_02_3_L
ANV2,C,02,3,R,ANV2_C_02_3_R
ANV2,C,02,4,L,ANV2_C_02_4_L
ANV2,C,02,4,R,ANV2_C_02_4_R
ANV2,C,02,5,L,ANV2_C_02_5_L
ANV2,C,02,5,R,ANV2_C_02_5_R
ANV2,C,02,6,L,ANV2_C_02_6_L
ANV2,C,02,6,R,ANV2_C_02_6_R
ANV2,C,03,1,L,ANV2_C_03_1_L
ANV2,C,03,1,R,ANV2_C_03_1_R
ANV2,C,03,2,L,ANV2_C_03_2_L
ANV2,C,03,2,R,ANV2_C_03_2_R
ANV2,C,03,3,L,ANV2_C_03_3_L
ANV2,C,03,3,R,ANV2_C_03_3_R
ANV2,C,03,4,L,ANV2_C_03_4_L
ANV2,C,03,4,R,ANV2_C_03_4_R
ANV2,C,03,5,L,ANV2_C_03_5_L
ANV2,C,03,5,R,ANV2_C_03_5_R
ANV2,C,03,6,L,ANV2_C_03_6_L
ANV2,C,03,6,R,ANV2_C_03_6_R
ANV2,C,04,1,L,ANV2_C_04_1_L
ANV2,C,04,1,R,ANV2_C_04_1_R
ANV2,C,04,2,L,ANV2_C_04_2_L
ANV2,C,04,2,R,ANV2_C_04_2_R
ANV2,C,04,3,L,ANV2_C_04_3_L
ANV2,C,04,3,R,ANV2_C_04_3_R
ANV2,C,04,4,L,ANV2_C_04_4_L
ANV2,C,04,4,R,ANV2_C_04_4_R
ANV2,C,04,5,L,ANV2_C_04_5_L
ANV2,C,04,5,R,ANV2_C_04_5_R
ANV2,C,04,6,L,ANV2_C_04_6_L
ANV2,C,04,6,R,ANV2_C_04_6_R
ANV2,C,05,1,L,ANV2_C_05_1_L
ANV2,C,05,1,R,ANV2_C_05_1_R
ANV2,C,05,2,L,ANV2_C_05_2_L
ANV2,C,05,2,R,ANV2_C_05_2_R
ANV2,C,05,3,L,ANV2_C_05_3_L
ANV2,C,05,3,R,ANV2_C_05_3_R
ANV2,C,05,4,L,ANV2_C_05_4_L
