All Area,Zone,Log,current level,Current Side,Plant,Row,Max Bay,Bay,Level,StartSide,Side,Location_Code
D063L,D,06,3,L,PS2,D,14,09,3,L,L,PS2_D09_3_L
D063R,D,06,3,R,PS2,D,14,09,3,L,R,PS2_D09_3_R
D064L,D,06,4,L,PS2,D,14,09,4,L,L,PS2_D09_4_L
D064R,D,06,4,R,PS2,D,14,09,4,L,R,PS2_D09_4_R
D065L,D,06,5,L,PS2,D,14,09,5,L,L,PS2_D09_5_L
D065R,D,06,5,R,PS2,D,14,09,5,L,R,PS2_D09_5_R
D066L,D,06,6,L,PS2,D,14,09,6,L,L,PS2_D09_6_L
D066R,D,06,6,R,PS2,D,14,09,6,L,R,PS2_D09_6_R
D071L,D,07,1,L,PS2,D,14,08,1,L,L,PS2_D08_1_L
D071R,D,07,1,R,PS2,D,14,08,1,L,R,PS2_D08_1_R
D072L,D,07,2,L,PS2,D,14,08,2,L,L,PS2_D08_2_L
D072R,D,07,2,R,PS2,D,14,08,2,L,R,PS2_D08_2_R
D073L,D,07,3,L,PS2,D,14,08,3,L,L,PS2_D08_3_L
D073R,D,07,3,R,PS2,D,14,08,3,L,R,PS2_D08_3_R
D074L,D,07,4,L,PS2,D,14,08,4,L,L,PS2_D08_4_L
D074R,D,07,4,R,PS2,D,14,08,4,L,R,PS2_D08_4_R
D075L,D,07,5,L,PS2,D,14,08,5,L,L,PS2_D08_5_L
D075R,D,07,5,R,PS2,D,14,08,5,L,R,PS2_D08_5_R
D076L,D,07,6,L,PS2,D,14,08,6,L,L,PS2_D08_6_L
D076R,D,07,6,R,PS2,D,14,08,6,L,R,PS2_D08_6_R
D081L,D,08,1,L,PS2,D,14,07,1,L,L,PS2_D07_1_L
D081R,D,08,1,R,PS2,D,14,07,1,L,R,PS2_D07_1_R
D082L,D,08,2,L,PS2,D,14,07,2,L,L,PS2_D07_2_L
D082R,D,08,2,R,PS2,D,14,07,2,L,R,PS2_D07_2_R
D083L,D,08,3,L,PS2,D,14,07,3,L,L,PS2_D07_3_L
D083R,D,08,3,R,PS2,D,14,07,3,L,R,PS2_D07_3_R
D084L,D,08,4,L,PS2,D,14,07,4,L,L,PS2_D07_4_L
D084R,D,08,4,R,PS2,D,14,07,4,L,R,PS2_D07_4_R
D085L,D,08,5,L,PS2,D,14,07,5,L,L,PS2_D07_5_L
D085R,D,08,5,R,PS2,D,14,07,5,L,R,PS2_D07_5_R
D086L,D,08,6,L,PS2,D,14,07,6,L,L,PS2_D07_6_L
D091L,D,09,1,L,PS2,D,14,06,1,L,L,PS2_D06_1_L
D091R,D,09,1,R,PS2,D,14,06,1,L,R,PS2_D06_1_R
D092L,D,09,2,L,PS2,D,14,06,2,L,L,PS2_D06_2_L
D092R,D,09,2,R,PS2,D,14,06,2,L,R,PS2_D06_2_R
D093L,D,09,3,L,PS2,D,14,06,3,L,L,PS2_D06_3_L
D093R,D,09,3,R,PS2,D,14,06,3,L,R,PS2_D06_3_R
D094L,D,09,4,L,PS2,D,14,06,4,L,L,PS2_D06_4_L
D094R,D,09,4,R,PS2,D,14,06,4,L,R,PS2_D06_4_R
D095L,D,09,5,L,PS2,D,14,06,5,L,L,PS2_D06_5_L
D095R,D,09,5,R,PS2,D,14,06,5,L,R,PS2_D06_5_R
D096L,D,09,6,L,PS2,D,14,06,6,L,L,PS2_D06_6_L
D096R,D,09,6,R,PS2,D,14,06,6,L,R,PS2_D06_6_R
D101L,D,10,1,L,PS2,D,14,05,1,L,L,PS2_D05_1_L
D101R,D,10,1,R,PS2,D,14,05,1,L,R,PS2_D05_1_R
D102L,D,10,2,L,PS2,D,14,05,2,L,L,PS2_D05_2_L
D102R,D,10,2,R,PS2,D,14,05,2,L,R,PS2_D05_2_R
D103L,D,10,3,L,PS2,D,14,05,3,L,L,PS2_D05_3_L
D103R,D,10,3,R,PS2,D,14,05,3,L,R,PS2_D05_3_R
D104L,D,10,4,L,PS2,D,14,05,4,L,L,PS2_D05_4_L
D104R,D,10,4,R,PS2,D,14,05,4,L,R,PS2_D05_4_R
D105L,D,10,5,L,PS2,D,14,05,5,L,L,PS2_D05_5_L
D105R,D,10,5,R,PS2,D,14,05,5,L,R,PS2_D05_5_R
D106L,D,10,6,L,PS2,D,14,05,6,L,L,PS2_D05_6_L
D106R,D,10,6,R,PS2,D,14,05,6,L,R,PS2_D05_6_R
D111L,D,11,1,L,PS2,D,14,04,1,L,L,PS2_D04_1_L
D111R,D,11,1,R,PS2,D,14,04,1,L,R,PS2_D04_1_R
D112L,D,11,2,L,PS2,D,14,04,2,L,L,PS2_D04_2_L
D112R,D,11,2,R,PS2,D,14,04,2,L,R,PS2_D04_2_R
D113L,D,11,3,L,PS2,D,14,04,3,L,L,PS2_D04_3_L
D113R,D,11,3,R,PS2,D,14,04,3,L,R,PS2_D04_3_R
D114L,D,11,4,L,PS2,D,14,04,4,L,L,PS2_D04_4_L
D114R,D,11,4,R,PS2,D,14,04,4,L,R,PS2_D04_4_R
D115L,D,11,5,L,PS2,D,14,04,5,L,L,PS2_D04_5_L
D115R,D,11,5,R,PS2,D,14,04,5,L,R,PS2_D04_5_R
D116R,D,11,6,R,PS2,D,14,04,6,L,R,PS2_D04_6_R
D121L,D,12,1,L,PS2,D,14,03,1,L,L,PS2_D03_1_L
D121R,D,12,1,R,PS2,D,14,03,1,L,R,PS2_D03_1_R
D122L,D,12,2,L,PS2,D,14,03,2,L,L,PS2_D03_2_L
D122R,D,12,2,R,PS2,D,14,03,2,L,R,PS2_D03_2_R
D123L,D,12,3,L,PS2,D,14,03,3,L,L,PS2_D03_3_L
D123R,D,12,3,R,PS2,D,14,03,3,L,R,PS2_D03_3_R
D124L,D,12,4,L,PS2,D,14,03,4,L,L,PS2_D03_4_L
D124R,D,12,4,R,PS2,D,14,03,4,L,R,PS2_D03_4_R
D125L,D,12,5,L,PS2,D,14,03,5,L,L,PS2_D03_5_L
D125R,D,12,5,R,PS2,D,14,03,5,L,R,PS2_D03_5_R
D126L,D,12,6,L,PS2,D,14,03,6,L,L,PS2_D03_6_L
D126R,D,12,6,R,PS2,D,14,03,6,L,R,PS2_D03_6_R
D134L,D,13,4,L,PS2,D,14,02,4,L,L,PS2_D02_4_L
D134R,D,13,4,R,PS2,D,14,02,4,L,R,PS2_D02_4_R
D135L,D,13,5,L,PS2,D,14,02,5,L,L,PS2_D02_5_L
D135R,D,13,5,R,PS2,D,14,02,5,L,R,PS2_D02_5_R
D136L,D,13,6,L,PS2,D,14,02,6,L,L,PS2_D02_6_L
D136R,D,13,6,R,PS2,D,14,02,6,L,R,PS2_D02_6_R
D141L,D,14,1,L,PS2,D,14,01,1,L,L,PS2_D01_1_L
D141R,D,14,1,R,PS2,D,14,01,1,L,R,PS2_D01_1_R
D142L,D,14,2,L,PS2,D,14,01,2,L,L,PS2_D01_2_L
D142R,D,14,2,R,PS2,D,14,01,2,L,R,PS2_D01_2_R
D143L,D,14,3,L,PS2,D,14,01,3,L,L,PS2_D01_3_L
D143R,D,14,3,R,PS2,D,14,01,3,L,R,PS2_D01_3_R
D144L,D,14,4,L,PS2,D,14,01,4,L,L,PS2_D01_4_L
D144R,D,14,4,R,PS2,D,14,01,4,L,R,PS2_D01_4_R
D145L,D,14,5,L,PS2,D,14,01,5,L,L,PS2_D01_5_L
D145R,D,14,5,R,PS2,D,14,01,5,L,R,PS2_D01_5_R
D146L,D,14,6,L,PS2,D,14,01,6,L,L,PS2_D01_6_L
D146R,D,14,6,R,PS2,D,14,01,6,L,R,PS2_D01_6_R
E011L,E,01,1,L,PS2,E,14,14,1,R,L,PS2_E14_1_L
E011R,E,01,1,R,PS2,E,14,14,1,R,R,PS2_E14_1_R
E012L,E,01,2,L,PS2,E,14,14,2,R,L,PS2_E14_2_L
E012R,E,01,2,R,PS2,E,14,14,2,R,R,PS2_E14_2_R
E013L,E,01,3,L,PS2,E,14,14,3,R,L,PS2_E14_3_L
E013R,E,01,3,R,PS2,E,14,14,3,R,R,PS2_E14_3_R
E014L,E,01,4,L,PS2,E,14,14,4,R,L,PS2_E14_4_L
E014R,E,01,4,R,PS2,E,14,14,4,R,R,PS2_E14_4_R
E015L,E,01,5,L,PS2,E,14,14,5,R,L,PS2_E14_5_L
E015R,E,01,5,R,PS2,E,14,14,5,R,R,PS2_E14_5_R
E016R,E,01,6,R,PS2,E,14,14,6,R,R,PS2_E14_6_R
E021L,E,02,1,L,PS2,E,14,13,1,R,L,PS2_E13_1_L
E021R,E,02,1,R,PS2,E,14,13,1,R,R,PS2_E13_1_R
E022L,E,02,2,L,PS2,E,14,13,2,R,L,PS2_E13_2_L
E022R,E,02,2,R,PS2,E,14,13,2,R,R,PS2_E13_2_R
E023L,E,02,3,L,PS2,E,14,13,3,R,L,PS2_E13_3_L
E023R,E,02,3,R,PS2,E,14,13,3,R,R,PS2_E13_3_R
E024L,E,02,4,L,PS2,E,14,13,4,R,L,PS2_E13_4_L
E024R,E,02,4,R,PS2,E,14,13,4,R,R,PS2_E13_4_R
E025L,E,02,5,L,PS2,E,14,13,5,R,L,PS2_E13_5_L
E025R,E,02,5,R,PS2,E,14,13,5,R,R,PS2_E13_5_R
E026L,E,02,6,L,PS2,E,14,13,6,R,L,PS2_E13_6_L
E026R,E,02,6,R,PS2,E,14,13,6,R,R,PS2_E13_6_R
E031L,E,03,1,L,PS2,E,14,12,1,R,L,PS2_E12_1_L
E031R,E,03,1,R,PS2,E,14,12,1,R,R,PS2_E12_1_R
E032L,E,03,2,L,PS2,E,14,12,2,R,L,PS2_E12_2_L
E032R,E,03,2,R,PS2,E,14,12,2,R,R,PS2_E12_2_R
E033L,E,03,3,L,PS2,E,14,12,3,R,L,PS2_E12_3_L
E033R,E,03,3,R,PS2,E,14,12,3,R,R,PS2_E12_3_R
E034L,E,03,4,L,PS2,E,14,12,4,R,L,PS2_E12_4_L
E034R,E,03,4,R,PS2,E,14,12,4,R,R,PS2_E12_4_R
E035L,E,03,5,L,PS2,E,14,12,5,R,L,PS2_E12_5_L
E035R,E,03,5,R,PS2,E,14,12,5,R,R,PS2_E12_5_R
E036L,E,03,6,L,PS2,E,14,12,6,R,L,PS2_E12_6_L
E036R,E,03,6,R,PS2,E,14,12,6,R,R,PS2_E12_6_R
E041L,E,04,1,L,PS2,E,14,11,1,R,L,PS2_E11_1_L
E041R,E,04,1,R,PS2,E,14,11,1,R,R,PS2_E11_1_R
E042L,E,04,2,L,PS2,E,14,11,2,R,L,PS2_E11_2_L
E042R,E,04,2,R,PS2,E,14,11,2,R,R,PS2_E11_2_R
E043L,E,04,3,L,PS2,E,14,11,3,R,L,PS2_E11_3_L
E043R,E,04,3,R,PS2,E,14,11,3,R,R,PS2_E11_3_R
E044L,E,04,4,L,PS2,E,14,11,4,R,L,PS2_E11_4_L
E044R,E,04,4,R,PS2,E,14,11,4,R,R,PS2_E11_4_R
E045L,E,04,5,L,PS2,E,14,11,5,R,L,PS2_E11_5_L
E045R,E,04,5,R,PS2,E,14,11,5,R,R,PS2_E11_5_R
E046L,E,04,6,L,PS2,E,14,11,6,R,L,PS2_E11_6_L
E051L,E,05,1,L,PS2,E,14,10,1,R,L,PS2_E10_1_L
E051R,E,05,1,R,PS2,E,14,10,1,R,R,PS2_E10_1_R
E052L,E,05,2,L,PS2,E,14,10,2,R,L,PS2_E10_2_L
E052R,E,05,2,R,PS2,E,14,10,2,R,R,PS2_E10_2_R
E053L,E,05,3,L,PS2,E,14,10,3,R,L,PS2_E10_3_L
E053R,E,05,3,R,PS2,E,14,10,3,R,R,PS2_E10_3_R
E054L,E,05,4,L,PS2,E,14,10,4,R,L,PS2_E10_4_L
E054R,E,05,4,R,PS2,E,14,10,4,R,R,PS2_E10_4_R
E055L,E,05,5,L,PS2,E,14,10,5,R,L,PS2_E10_5_L
E055R,E,05,5,R,PS2,E,14,10,5,R,R,PS2_E10_5_R
E056L,E,05,6,L,PS2,E,14,10,6,R,L,PS2_E10_6_L
E056R,E,05,6,R,PS2,E,14,10,6,R,R,PS2_E10_6_R
E061L,E,06,1,L,PS2,E,14,09,1,R,L,PS2_E09_1_L
E061R,E,06,1,R,PS2,E,14,09,1,R,R,PS2_E09_1_R
E062L,E,06,2,L,PS2,E,14,09,2,R,L,PS2_E09_2_L
E062R,E,06,2,R,PS2,E,14,09,2,R,R,PS2_E09_2_R
E063L,E,06,3,L,PS2,E,14,09,3,R,L,PS2_E09_3_L
E063R,E,06,3,R,PS2,E,14,09,3,R,R,PS2_E09_3_R
E064L,E,06,4,L,PS2,E,14,09,4,R,L,PS2_E09_4_L
E064R,E,06,4,R,PS2,E,14,09,4,R,R,PS2_E09_4_R
E065L,E,06,5,L,PS2,E,14,09,5,R,L,PS2_E09_5_L
E065R,E,06,5,R,PS2,E,14,09,5,R,R,PS2_E09_5_R
E066L,E,06,6,L,PS2,E,14,09,6,R,L,PS2_E09_6_L
E066R,E,06,6,R,PS2,E,14,09,6,R,R,PS2_E09_6_R
E071L,E,07,1,L,PS2,E,14,08,1,R,L,PS2_E08_1_L
E071R,E,07,1,R,PS2,E,14,08,1,R,R,PS2_E08_1_R
E072L,E,07,2,L,PS2,E,14,08,2,R,L,PS2_E08_2_L
E072R,E,07,2,R,PS2,E,14,08,2,R,R,PS2_E08_2_R
E073L,E,07,3,L,PS2,E,14,08,3,R,L,PS2_E08_3_L
E073R,E,07,3,R,PS2,E,14,08,3,R,R,PS2_E08_3_R
E074L,E,07,4,L,PS2,E,14,08,4,R,L,PS2_E08_4_L
E074R,E,07,4,R,PS2,E,14,08,4,R,R,PS2_E08_4_R
E075L,E,07,5,L,PS2,E,14,08,5,R,L,PS2_E08_5_L
E075R,E,07,5,R,PS2,E,14,08,5,R,R,PS2_E08_5_R
E076L,E,07,6,L,PS2,E,14,08,6,R,L,PS2_E08_6_L
E076R,E,07,6,R,PS2,E,14,08,6,R,R,PS2_E08_6_R
E081L,E,08,1,L,PS2,E,14,07,1,R,L,PS2_E07_1_L
E081R,E,08,1,R,PS2,E,14,07,1,R,R,PS2_E07_1_R
E082L,E,08,2,L,PS2,E,14,07,2,R,L,PS2_E07_2_L
E082R,E,08,2,R,PS2,E,14,07,2,R,R,PS2_E07_2_R
E083L,E,08,3,L,PS2,E,14,07,3,R,L,PS2_E07_3_L
E083R,E,08,3,R,PS2,E,14,07,3,R,R,PS2_E07_3_R
E084L,E,08,4,L,PS2,E,14,07,4,R,L,PS2_E07_4_L
E084R,E,08,4,R,PS2,E,14,07,4,R,R,PS2_E07_4_R
E085L,E,08,5,L,PS2,E,14,07,5,R,L,PS2_E07_5_L
E085R,E,08,5,R,PS2,E,14,07,5,R,R,PS2_E07_5_R
E086R,E,08,6,R,PS2,E,14,07,6,R,R,PS2_E07_6_R
E091L,E,09,1,L,PS2,E,14,06,1,R,L,PS2_E06_1_L
E091R,E,09,1,R,PS2,E,14,06,1,R,R,PS2_E06_1_R
E092L,E,09,2,L,PS2,E,14,06,2,R,L,PS2_E06_2_L
E092R,E,09,2,R,PS2,E,14,06,2,R,R,PS2_E06_2_R
E093L,E,09,3,L,PS2,E,14,06,3,R,L,PS2_E06_3_L
E093R,E,09,3,R,PS2,E,14,06,3,R,R,PS2_E06_3_R
E094L,E,09,4,L,PS2,E,14,06,4,R,L,PS2_E06_4_L
E094R,E,09,4,R,PS2,E,14,06,4,R,R,PS2_E06_4_R
E095L,E,09,5,L,PS2,E,14,06,5,R,L,PS2_E06_5_L
E095R,E,09,5,R,PS2,E,14,06,5,R,R,PS2_E06_5_R
E096L,E,09,6,L,PS2,E,14,06,6,R,L,PS2_E06_6_L
E096R,E,09,6,R,PS2,E,14,06,6,R,R,PS2_E06_6_R
E101L,E,10,1,L,PS2,E,14,05,1,R,L,PS2_E05_1_L
E101R,E,10,1,R,PS2,E,14,05,1,R,R,PS2_E05_1_R
E102L,E,10,2,L,PS2,E,14,05,2,R,L,PS2_E05_2_L
E102R,E,10,2,R,PS2,E,14,05,2,R,R,PS2_E05_2_R
E103L,E,10,3,L,PS2,E,14,05,3,R,L,PS2_E05_3_L
E103R,E,10,3,R,PS2,E,14,05,3,R,R,PS2_E05_3_R
E104L,E,10,4,L,PS2,E,14,05,4,R,L,PS2_E05_4_L
E104R,E,10,4,R,PS2,E,14,05,4,R,R,PS2_E05_4_R
E105L,E,10,5,L,PS2,E,14,05,5,R,L,PS2_E05_5_L
E105R,E,10,5,R,PS2,E,14,05,5,R,R,PS2_E05_5_R
E106L,E,10,6,L,PS2,E,14,05,6,R,L,PS2_E05_6_L
E106R,E,10,6,R,PS2,E,14,05,6,R,R,PS2_E05_6_R
E111L,E,11,1,L,PS2,E,14,04,1,R,L,PS2_E04_1_L
E111R,E,11,1,R,PS2,E,14,04,1,R,R,PS2_E04_1_R
E112L,E,11,2,L,PS2,E,14,04,2,R,L,PS2_E04_2_L
E112R,E,11,2,R,PS2,E,14,04,2,R,R,PS2_E04_2_R
E113L,E,11,3,L,PS2,E,14,04,3,R,L,PS2_E04_3_L
E113R,E,11,3,R,PS2,E,14,04,3,R,R,PS2_E04_3_R
E114L,E,11,4,L,PS2,E,14,04,4,R,L,PS2_E04_4_L
E114R,E,11,4,R,PS2,E,14,04,4,R,R,PS2_E04_4_R
E115L,E,11,5,L,PS2,E,14,04,5,R,L,PS2_E04_5_L
E115R,E,11,5,R,PS2,E,14,04,5,R,R,PS2_E04_5_R
E116L,E,11,6,L,PS2,E,14,04,6,R,L,PS2_E04_6_L
E121L,E,12,1,L,PS2,E,14,03,1,R,L,PS2_E03_1_L
E121R,E,12,1,R,PS2,E,14,03,1,R,R,PS2_E03_1_R
E122L,E,12,2,L,PS2,E,14,03,2,R,L,PS2_E03_2_L
E122R,E,12,2,R,PS2,E,14,03,2,R,R,PS2_E03_2_R
E123L,E,12,3,L,PS2,E,14,03,3,R,L,PS2_E03_3_L
E123R,E,12,3,R,PS2,E,14,03,3,R,R,PS2_E03_3_R
E124L,E,12,4,L,PS2,E,14,03,4,R,L,PS2_E03_4_L
E124R,E,12,4,R,PS2,E,14,03,4,R,R,PS2_E03_4_R
E125L,E,12,5,L,PS2,E,14,03,5,R,L,PS2_E03_5_L
E125R,E,12,5,R,PS2,E,14,03,5,R,R,PS2_E03_5_R
E126L,E,12,6,L,PS2,E,14,03,6,R,L,PS2_E03_6_L
E126R,E,12,6,R,PS2,E,14,03,6,R,R,PS2_E03_6_R
E134L,E,13,4,L,PS2,E,14,02,4,R,L,PS2_E02_4_L
E134R,E,13,4,R,PS2,E,14,02,4,R,R,PS2_E02_4_R
E135L,E,13,5,L,PS2,E,14,02,5,R,L,PS2_E02_5_L
E135R,E,13,5,R,PS2,E,14,02,5,R,R,PS2_E02_5_R
E136R,E,13,6,R,PS2,E,14,02,6,R,R,PS2_E02_6_R
E141L,E,14,1,L,PS2,E,14,01,1,R,L,PS2_E01_1_L
E141R,E,14,1,R,PS2,E,14,01,1,R,R,PS2_E01_1_R
E142L,E,14,2,L,PS2,E,14,01,2,R,L,PS2_E01_2_L
E142R,E,14,2,R,PS2,E,14,01,2,R,R,PS2_E01_2_R
E143L,E,14,3,L,PS2,E,14,01,3,R,L,PS2_E01_3_L
E143R,E,14,3,R,PS2,E,14,01,3,R,R,PS2_E01_3_R
E144L,E,14,4,L,PS2,E,14,01,4,R,L,PS2_E01_4_L
E144R,E,14,4,R,PS2,E,14,01,4,R,R,PS2_E01_4_R
E145L,E,14,5,L,PS2,E,14,01,5,R,L,PS2_E01_5_L
E145R,E,14,5,R,PS2,E,14,01,5,R,R,PS2_E01_5_R
E146L,E,14,6,L,PS2,E,14,01,6,R,L,PS2_E01_6_L
E146R,E,14,6,R,PS2,E,14,01,6,R,R,PS2_E01_6_R
